Company,P(Rank #1),P(Top 3),P(Top 5),P(Top 10),Median Rank,Robustness
SpaceX,0.6493,0.9145,0.9647,0.9914,1.0,VERY ROBUST
OpenAI,0.26,0.7873,0.8859,0.9832,2.0,VERY ROBUST
Boston Dynamics,0.0347,0.097,0.1913,0.4917,11.0,MODERATE
Quantum Computing Inc.,0.0235,0.0826,0.1734,0.295,20.0,MODERATE
Palantir,0.0204,0.3613,0.6027,0.8687,5.0,VERY ROBUST
Quantinuum,0.0063,0.1358,0.2823,0.6556,8.0,MODERATE
ABB Ltd,0.0039,0.0366,0.1128,0.5787,10.0,FRAGILE
C3.ai,0.0013,0.015,0.0286,0.0887,25.0,FRAGILE
NVIDIA,0.0002,0.1529,0.3281,0.7142,7.0,MODERATE
Iridium Communications,0.0002,0.0072,0.0323,0.1975,14.0,FRAGILE
Anthropic,0.0001,0.2085,0.5096,0.8489,5.0,ROBUST
Anduril Industries,0.0001,0.1619,0.474,0.8472,6.0,ROBUST
Microsoft,0.0,0.0244,0.2581,0.791,7.0,MODERATE
Helsing,0.0,0.0,0.0018,0.077,20.0,FRAGILE
Intuitive Surgical,0.0,0.0,0.0,0.0821,18.0,FRAGILE
Alphabet (Google),0.0,0.0,0.0671,0.5032,10.0,FRAGILE
Blue Origin,0.0,0.0003,0.032,0.3327,12.0,FRAGILE
Mistral AI,0.0,0.0,0.0022,0.0709,23.0,FRAGILE
IBM,0.0,0.0137,0.0464,0.346,12.0,FRAGILE
ICEYE,0.0,0.0001,0.0021,0.0899,23.0,FRAGILE
Shield AI,0.0,0.0,0.0,0.0336,25.0,FRAGILE
iRobot,0.0,0.0,0.0,0.0048,19.0,FRAGILE
AST SpaceMobile,0.0,0.0,0.0,0.0016,24.0,FRAGILE
Planet Labs,0.0,0.0,0.0,0.0001,23.0,FRAGILE
Fanuc Corp,0.0,0.0,0.0,0.0177,20.0,FRAGILE
Northrop Grumman,0.0,0.0005,0.0024,0.0317,27.0,FRAGILE
Figure AI,0.0,0.0,0.0,0.0051,40.0,FRAGILE
Cohere,0.0,0.0,0.0,0.0016,30.0,FRAGILE
RTX Corporation,0.0,0.0,0.0,0.0054,27.0,FRAGILE
BAE Systems,0.0,0.0004,0.0019,0.0266,27.0,FRAGILE
SoundHound AI,0.0,0.0,0.0,0.0058,27.0,FRAGILE
Rocket Lab,0.0,0.0,0.0,0.0001,30.0,FRAGILE
L3Harris Technologies,0.0,0.0,0.0,0.0,28.0,FRAGILE
Kratos Defense,0.0,0.0,0.0,0.0,32.0,FRAGILE
Lockheed Martin,0.0,0.0,0.0003,0.0041,36.0,FRAGILE
D-Wave Quantum,0.0,0.0,0.0,0.0013,32.0,FRAGILE
IonQ,0.0,0.0,0.0,0.0,32.0,FRAGILE
Symbotic,0.0,0.0,0.0,0.0,39.0,FRAGILE
Rigetti Computing,0.0,0.0,0.0,0.0024,34.0,FRAGILE
Agility Robotics,0.0,0.0,0.0,0.0,44.0,FRAGILE
Saronic Technologies,0.0,0.0,0.0,0.0,44.0,FRAGILE
Intuitive Machines,0.0,0.0,0.0,0.0,36.0,FRAGILE
PsiQuantum,0.0,0.0,0.0,0.0,45.0,FRAGILE
Redwire,0.0,0.0,0.0,0.0018,38.0,FRAGILE
Pasqal,0.0,0.0,0.0,0.0,45.0,FRAGILE
Relativity Space,0.0,0.0,0.0,0.0008,43.0,FRAGILE
Serve Robotics,0.0,0.0,0.0,0.0019,44.0,FRAGILE
Xanadu,0.0,0.0,0.0,0.0,48.0,FRAGILE
Skild AI,0.0,0.0,0.0,0.0,49.0,FRAGILE
