company,ticker,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,cagr
NVIDIA,NVDA,0.6215491733934136,0.46901637956906533,1.2292730030519403,1.8362001967117172,-0.3688103112561922,0.6667911401628033
Microsoft,MSFT,0.08612072824119126,0.24451387170061778,0.16817339627888017,0.22867383194646046,-0.34498391627511604,0.057752914557133606
Alphabet (Google),GOOGL,0.4162118618500001,0.29958302129150816,1.2390951271193495,1.8532357779561608,-0.2980586756994144,0.4489118879983345
Palantir,PLTR,0.911738744636132,0.6423697065652038,1.3492833422526185,2.195497238066745,-0.48223766562761367,1.0329419920860583
C3.ai,AI,-0.25838818602881575,0.6613868798878917,-0.45871515636996235,-0.7023328754286685,-0.8251070449473142,-0.37823835544759377
SoundHound AI,SOUN,0.6878383840036665,1.1045407924608783,0.5819960551854721,1.1965533662850982,-0.7565001978195297,0.13134146180881956
Intuitive Surgical,ISRG,0.12701291751804747,0.310516470663173,0.2641177691569523,0.404640868150579,-0.34854617950124644,0.08264005962615073
ABB Ltd,ABB,0.12553542558610126,0.6906389408914017,0.11661002706009437,0.2079403543213768,-0.7845918875104676,-0.10591169157328262
Fanuc Corp,6954.T,0.22746505275215168,0.39842360248116265,0.4579674788738917,0.7151858804714809,-0.3683289299199287,0.16036505953779323
iRobot,IRBT,0.2927111252621066,0.46435669285216136,0.5334501022061744,0.910886753043285,-0.5471499445804806,0.2030973668363587
Symbotic,SYM,0.43024641184692114,0.9495650380812762,0.4057082942158057,0.6624190614967796,-0.7245829438487857,-0.006492374381316668
Serve Robotics,SERV,0.9783514061601931,1.8914240887655605,0.4934649038806234,0.8987998266488239,-0.923529407109474,-0.4377477957389907
Rocket Lab,RKLB,1.2943955828106475,0.846728294566009,1.4755566701016245,2.6764362793184913,-0.5548549750562448,1.5707383436705773
Intuitive Machines,LUNR,0.9661099762675693,1.183199311418445,0.7784909671417258,1.444937067079338,-0.7808930560725831,0.3458741845445972
Redwire,RDW,0.9904109603541641,1.017717322068006,0.928952411297358,1.5942535140192542,-0.8028059246738516,0.6293345311124938
AST SpaceMobile,ASTS,1.6407494095281545,1.2084588383372412,1.3204830474191405,2.6910005265069956,-0.6839622722849579,1.643876303393034
Planet Labs,PL,1.1316192780443475,0.8851011290155423,1.22767810640231,2.1535365265379642,-0.5517241204852407,1.1380222030576848
Iridium Communications,IRDM,0.10795666441829818,0.5166881950343304,0.12184653147361948,0.1728706891890388,-0.731554033170481,-0.024063626378141523
Lockheed Martin,LMT,0.1077992466160378,0.23380142444755847,0.2686007870329449,0.3328638462297662,-0.3178841814669746,0.08346648630404663
Northrop Grumman,NOC,0.10705016606219471,0.24973304776721522,0.2484659784396409,0.32871405797025227,-0.35415747454550656,0.07867611917252026
RTX Corporation,RTX,0.2881858812452004,0.24573525878379862,0.9896255118161892,1.2581764186089215,-0.28992650937198017,0.293535167198099
L3Harris Technologies,LHX,0.1886007563912456,0.2316119884500637,0.6200057145237384,0.9425883041502628,-0.25982727077844214,0.17542231799139363
Kratos Defense,KTOS,0.6073020850641827,0.5505004296818047,1.0214380493566544,1.63140033686593,-0.6456548404048809,0.5784847723365163
BAE Systems,BA.L,0.29445303248113097,0.28057304796037397,0.8890840880638038,1.317399323608686,-0.23114828864201478,0.290458163601903
IonQ,IONQ,0.9377393231492245,1.0151771975352888,0.879392607829129,1.572147942832074,-0.6760872050335975,0.5407060211935262
Rigetti Computing,RGTI,1.8213224291577679,1.4198445782633546,1.251068219967026,2.4930018386911055,-0.7883076851184552,1.3826971889779847
D-Wave Quantum,QBTS,1.6836976309230567,1.3785949827878607,1.1886722724096994,2.5092870299109156,-0.7917525813316619,1.2020183136118057
Quantum Computing Inc.,QUBT,1.6602898905093322,1.5107093208816416,1.0692261364791593,2.190598081951641,-0.8239875417752425,0.9143479658154121
IBM,IBM,0.33884651475243954,0.30821925341413103,0.9533684592948517,1.2368107987452772,-0.30963071408168813,0.3377974443944076
