,count,mean,std,min,25%,50%,75%,max
funding_efficiency,49.0,28.78,28.22,0.0,9.74,20.3,33.45,100.0
innovation_score,49.0,12.14,23.73,0.0,0.9,1.9,8.65,100.0
commercial_traction_score,49.0,21.83,33.18,0.0,0.96,1.53,33.33,100.0
technology_moat_score,49.0,52.68,27.07,0.0,35.71,48.15,77.14,100.0
risk_score,49.0,56.69,29.23,0.0,38.33,63.88,74.34,100.0
market_opportunity_score,49.0,74.39,13.56,55.0,65.0,75.0,80.0,95.0
founder_team_score,49.0,68.45,33.25,0.0,44.44,77.78,97.24,100.0
scalability_score,49.0,54.75,30.19,0.0,33.33,56.28,76.17,100.0
capital_intensity,49.0,31.95,25.86,0.0,12.46,30.25,43.37,100.0
global_expansion_score,49.0,47.6,31.66,0.0,25.0,46.43,75.0,100.0
