Feature,Investor-Defined,AHP,Entropy (EWM),Max Divergence,Flag
funding_efficiency,0.12,0.12,0.1107,0.009299999999999989,Stable
innovation_score,0.16,0.16,0.2989,0.1389,HIGH divergence
commercial_traction_score,0.18,0.18,0.2564,0.07640000000000002,Stable
technology_moat_score,0.14,0.14,0.0391,0.10090000000000002,HIGH divergence
risk_score,0.1,0.1,0.043,0.05700000000000001,Stable
market_opportunity_score,0.12,0.12,0.0043,0.1157,HIGH divergence
founder_team_score,0.08,0.08,0.0425,0.0375,Stable
scalability_score,0.06,0.06,0.0505,0.009499999999999995,Stable
capital_intensity,0.02,0.02,0.0831,0.06309999999999999,Stable
global_expansion_score,0.02,0.02,0.0716,0.05159999999999999,Stable
